2022.01.04 11:09:26, AUV切换为遥控模式！
2022.01.04 11:09:46, AUV切换为自主模式！
2022.01.04 11:09:50, AUV执行定深定向：定深1.0m，定向1.0度，巡航速度10，持续时间10秒！
2022.01.04 11:09:55, 任务开始执行！
2022.01.04 11:10:14, AUV设定原点！
2022.01.04 11:10:16, AUV设定原点！
2022.01.04 11:10:20, AUV执行返航任务：巡航速度10，持续时间10秒！
2022.01.11,18:27:15, AUV切换为遥控模式！
2022.01.11,18:27:17, AUV切换为自主模式！
2022.01.11,18:27:28, AUV下达航点序列成功！
2022.01.11,18:27:28, AUV执行多航点任务：巡航速度0，持续时间40秒！
2022.01.11,18:27:35, 任务开始执行！
2022.01.11,18:27:44, 任务停止执行！
2022.01.11,18:27:49, AUV设定原点！
2022.01.11,18:27:55, AUV切换为遥控模式！
2022.01.11,18:27:58, AUV切换为自主模式！
2022.01.11,18:28:06, AUV下达航点序列成功！
2022.01.11,18:28:06, AUV执行多航点任务：巡航速度0，持续时间40秒！
2022.01.11,18:28:13, AUV下达航点序列成功！
2022.01.11,18:28:13, AUV执行多航点任务：巡航速度0，持续时间40秒！
2022.01.11,18:28:18, 任务开始执行！
2022.01.11,18:40:06, AUV切换为遥控模式！
2022.01.11,18:40:08, AUV切换为自主模式！
2022.01.11,18:40:13, AUV设定原点！
2022.01.11,18:40:15, 任务停止执行！
2022.01.11,18:40:17, AUV下达航点序列成功！
2022.01.11,18:40:17, AUV执行多航点任务：巡航速度0，持续时间40秒！
2022.01.11,18:40:27, 任务开始执行！
2022.01.11,18:46:31, AUV切换为遥控模式！
2022.01.11,18:46:33, AUV切换为自主模式！
2022.01.11,18:46:40, 任务停止执行！
2022.01.11,18:46:42, AUV下达航点序列成功！
2022.01.11,18:46:42, AUV执行多航点任务：巡航速度0，持续时间40秒！
2022.01.11,18:47:05, AUV下达航点序列成功！
2022.01.11,18:47:05, AUV执行多航点任务：巡航速度0，持续时间40秒！
2022.01.11,18:47:11, 任务开始执行！
2022.01.11,18:47:15, 任务停止执行！
2022.01.11,18:47:20, AUV设定原点！
2022.01.11,18:47:22, AUV下达航点序列成功！
2022.01.11,18:47:22, AUV执行多航点任务：巡航速度0，持续时间40秒！
2022.01.11,18:47:28, 任务开始执行！
2022.01.11,18:47:34, 任务停止执行！
2022.01.11,18:47:41, AUV切换为遥控模式！
2022.01.11,18:47:43, AUV切换为自主模式！
2022.01.11,18:47:45, AUV下达航点序列成功！
2022.01.11,18:47:45, AUV执行多航点任务：巡航速度0，持续时间40秒！
2022.01.11,18:47:47, AUV设定原点！
2022.01.11,18:47:51, AUV下达航点序列成功！
2022.01.11,18:47:51, AUV执行多航点任务：巡航速度0，持续时间40秒！
2022.01.11,18:47:53, 任务开始执行！
2022.01.11,18:48:18, 任务停止执行！
2022.01.11,18:48:28, AUV下达航点序列成功！
2022.01.11,18:48:29, AUV执行多航点任务：巡航速度0，持续时间40秒！
2022.01.11,18:48:37, 任务开始执行！
2022.01.11,18:48:41, 任务停止执行！
2022.01.11,19:01:19, AUV切换为遥控模式！
2022.01.11,19:01:22, AUV切换为自主模式！
2022.01.11,19:01:25, AUV下达航点序列成功！
2022.01.11,19:01:25, AUV执行多航点任务：巡航速度0，持续时间40秒！
2022.01.11,19:01:27, AUV设定原点！
2022.01.11,19:01:34, AUV下达航点序列成功！
2022.01.11,19:01:35, AUV执行多航点任务：巡航速度0，持续时间40秒！
2022.01.11,19:02:03, AUV下达航点序列成功！
2022.01.11,19:02:03, AUV执行多航点任务：巡航速度0，持续时间40秒！
2022.01.11,19:02:11, 任务开始执行！
2022.01.11,19:02:32, 任务停止执行！
2022.01.11,19:06:56, AUV设定原点！
2022.01.11,19:07:16, AUV切换为遥控模式！
2022.01.11,19:07:18, AUV切换为自主模式！
2022.01.11,19:07:26, AUV下达航点序列成功！
2022.01.11,19:07:26, AUV执行多航点任务：巡航速度0，持续时间40秒！
2022.01.11,19:07:31, 任务开始执行！
2022.01.11,19:25:38, AUV设定原点！
2022.01.11,19:25:41, 任务停止执行！
2022.01.11,19:25:46, AUV切换为遥控模式！
2022.01.11,19:25:49, AUV切换为自主模式！
2022.01.11,19:25:51, AUV下达航点序列成功！
2022.01.11,19:25:51, AUV执行多航点任务：巡航速度0，持续时间40秒！
2022.01.11,19:25:54, 任务开始执行！
2022.01.11,19:35:17, AUV设定原点！
2022.01.11,19:35:21, 任务停止执行！
2022.01.11,19:35:24, AUV切换为遥控模式！
2022.01.11,19:35:26, AUV切换为自主模式！
2022.01.11,19:35:28, AUV下达航点序列成功！
2022.01.11,19:35:28, AUV执行多航点任务：巡航速度0，持续时间40秒！
2022.01.11,19:35:33, AUV设定原点！
2022.01.11,19:35:40, AUV下达航点序列成功！
2022.01.11,19:35:40, AUV执行多航点任务：巡航速度0，持续时间40秒！
2022.01.11,19:35:42, 任务开始执行！
2022.01.12,11:04:28, AUV初始化成功！
2022.01.12,11:09:09, AUV初始化成功！
2022.01.12,11:20:32, 开启户外状态周期回传！
2022.01.12,11:21:16, 关闭户外状态周期回传！
2022.01.12,11:25:11, AUV设定原点！
2022.01.12,11:25:18, 开启户外状态周期回传！
2022.01.12,11:33:07, 关闭户外状态周期回传！
2022.01.12,11:36:13, AUV初始化成功！
2022.01.12,11:36:22, AUV设定原点！
2022.01.12,11:37:33, AUV切换为自主模式！
2022.01.12,11:37:42, AUV执行定深定向：定深0.0m，定向70.0度，巡航速度60，持续时间40秒！
2022.01.12,11:37:46, 获取舵-桨控制参数
2022.01.12,11:38:39, 获取舵-桨控制参数
2022.01.12,11:38:46, AUV执行定深定向：定深0.0m，定向70.0度，巡航速度60，持续时间40秒！
2022.01.12,11:38:48, AUV设定原点！
2022.01.12,11:39:02, 任务开始执行！
2022.01.12,11:40:56, 任务停止执行！
2022.01.12,11:41:14, 开启户外状态周期回传！
2022.01.12,11:41:34, AUV执行定深定向：定深0.0m，定向140.0度，巡航速度90，持续时间60秒！
2022.01.12,11:41:44, 获取舵-桨控制参数
2022.01.12,11:42:00, 获取舵-桨控制参数
2022.01.12,11:42:04, 获取舵-桨控制参数
2022.01.12,11:42:24, AUV执行定深定向：定深0.0m，定向140.0度，巡航速度90，持续时间60秒！
2022.01.12,11:42:29, 任务开始执行！
2022.01.12,11:44:02, AUV切换为遥控模式！
2022.01.12,11:51:12, AUV设定原点！
2022.01.12,11:57:28, AUV初始化成功！
2022.01.12,11:57:34, 启用航向控制！
2022.01.12,11:57:55, 已更新控制配置！
2022.01.12,11:57:59, AUV设定原点！
2022.01.12,11:58:04, AUV切换为自主模式！
2022.01.12,11:58:13, 任务停止执行！
2022.01.12,11:59:40, AUV执行定深定向：定深0.0m，定向120.0度，巡航速度90，持续时间60秒！
2022.01.12,11:59:46, 获取舵-桨控制参数
2022.01.12,12:00:00, AUV执行定深定向：定深0.0m，定向120.0度，巡航速度90，持续时间40秒！
2022.01.12,12:00:03, AUV设定原点！
2022.01.12,12:00:20, 任务开始执行！
2022.01.12,12:01:21, 关闭户外状态周期回传！
2022.01.12,12:01:40, AUV切换为遥控模式！
2022.01.12,12:03:57, AUV切换为自主模式！
2022.01.12,12:04:01, 任务停止执行！
2022.01.12,12:04:04, AUV设定原点！
2022.01.12,12:04:23, AUV执行定深定向：定深0.0m，定向120.0度，巡航速度90，持续时间40秒！
2022.01.12,12:04:39, 任务开始执行！
2022.01.12,12:05:37, AUV切换为遥控模式！
2022.01.12,12:22:03, AUV初始化成功！
2022.01.12,12:24:35, 任务停止执行！
2022.01.12,12:25:26, 开启户外状态周期回传！
2022.01.12,12:25:40, 关闭户外状态周期回传！
2022.01.12,12:25:46, AUV设定原点！
2022.01.12,12:26:39, 禁用航向控制！
2022.01.12,12:26:42, 启用航向控制！
2022.01.12,12:26:47, 已更新控制配置！
2022.01.12,12:26:52, AUV切换为自主模式！
2022.01.12,12:27:13, AUV下达航点序列成功！
2022.01.12,12:27:14, AUV执行多航点任务：巡航速度90，持续时间120秒！
2022.01.12,12:28:14, AUV下达航点序列成功！
2022.01.12,12:28:15, AUV执行多航点任务：巡航速度90，持续时间120秒！
2022.01.12,12:29:12, AUV下达航点序列成功！
2022.01.12,12:29:13, AUV执行多航点任务：巡航速度90，持续时间120秒！
2022.01.12,12:29:17, AUV设定原点！
2022.01.12,12:29:25, 已更新控制配置！
2022.01.12,12:29:30, 任务开始执行！
2022.01.12,12:29:34, 任务停止执行！
2022.01.12,12:33:43, AUV初始化成功！
2022.01.12,12:33:46, AUV切换为遥控模式！
2022.01.12,12:33:53, AUV切换为自主模式！
2022.01.12,12:33:56, AUV设定原点！
2022.01.12,12:34:01, 禁用航向控制！
2022.01.12,12:34:06, 启用航向控制！
2022.01.12,12:35:47, AUV下达航点序列成功！
2022.01.12,12:35:48, AUV执行多航点任务：巡航速度90，持续时间120秒！
2022.01.12,12:35:56, AUV设定原点！
2022.01.12,12:36:36, AUV下达航点序列成功！
2022.01.12,12:36:37, AUV执行多航点任务：巡航速度90，持续时间120秒！
2022.01.12,12:36:42, 已更新控制配置！
2022.01.12,12:36:49, 任务开始执行！
2022.01.12,12:38:37, 任务停止执行！
2022.01.12,12:38:50, AUV切换为遥控模式！
2022.01.12,13:45:44, AUV初始化成功！
2022.01.12,13:45:48, 开启户外状态周期回传！
2022.01.12,13:47:12, 关闭户外状态周期回传！
2022.01.12,13:47:21, AUV设定原点！
2022.01.12,13:47:58, 禁用航向控制！
2022.01.12,13:48:02, 启用航向控制！
2022.01.12,13:48:09, AUV切换为自主模式！
2022.01.12,13:48:13, AUV下达航点序列成功！
2022.01.12,13:48:14, AUV执行多航点任务：巡航速度90，持续时间120秒！
2022.01.12,13:48:37, 已更新控制配置！
2022.01.12,13:48:54, AUV下达航点序列成功！
2022.01.12,13:48:55, AUV执行多航点任务：巡航速度90，持续时间120秒！
2022.01.12,13:49:09, 任务开始执行！
2022.01.12,13:51:12, AUV执行返航任务：巡航速度90，持续时间120秒！
2022.01.12,13:51:18, 任务停止执行！
2022.01.12,13:51:23, AUV执行返航任务：巡航速度90，持续时间120秒！
2022.01.12,13:51:47, 任务开始执行！
2022.01.12,13:54:33, AUV切换为遥控模式！
2022.01.12,13:56:40, 任务停止执行！
2022.01.12,13:56:51, AUV切换为自主模式！
2022.01.12,13:57:00, AUV下达航点序列成功！
2022.01.12,13:57:01, AUV执行多航点任务：巡航速度90，持续时间120秒！
2022.01.12,13:57:59, AUV下达航点序列成功！
2022.01.12,13:58:00, AUV执行多航点任务：巡航速度90，持续时间200秒！
2022.01.12,13:58:08, 已更新控制配置！
2022.01.12,13:58:17, AUV设定原点！
2022.01.12,13:58:21, 任务开始执行！
2022.01.12,14:01:55, AUV执行返航任务：巡航速度90，持续时间200秒！
2022.01.12,14:01:59, 任务停止执行！
2022.01.12,14:02:02, AUV执行返航任务：巡航速度90，持续时间200秒！
2022.01.12,14:02:05, 任务开始执行！
2022.01.12,14:02:56, AUV切换为遥控模式！
2022.01.12,14:02:59, 任务停止执行！
2022.01.12,14:27:25, AUV初始化成功！
2022.01.12,14:27:35, AUV设定原点！
2022.01.12,14:27:59, AUV设定原点！
2022.01.12,14:28:12, AUV切换为自主模式！
2022.01.12,14:29:05, 禁用航向控制！
2022.01.12,14:29:10, 启用航向控制！
2022.01.12,14:30:50, AUV下达航点序列成功！
2022.01.12,14:30:51, AUV执行多航点任务：巡航速度90，持续时间200秒！
2022.01.12,14:31:00, AUV下达航点序列成功！
2022.01.12,14:31:01, AUV执行多航点任务：巡航速度90，持续时间200秒！
2022.01.12,14:31:19, AUV下达航点序列成功！
2022.01.12,14:31:20, AUV执行多航点任务：巡航速度90，持续时间200秒！
2022.01.12,14:31:26, 已更新控制配置！
2022.01.12,14:31:34, 任务开始执行！
2022.01.12,14:35:41, 任务停止执行！
2022.01.12,14:35:45, AUV执行返航任务：巡航速度90，持续时间200秒！
2022.01.12,14:35:50, 任务开始执行！
2022.01.12,14:45:25, AUV初始化成功！
2022.01.12,14:45:34, AUV切换为自主模式！
2022.01.12,14:46:03, AUV设定原点！
2022.01.12,14:46:13, 已更新控制配置！
2022.01.12,14:46:17, 启用航向控制！
2022.01.12,14:46:22, 已更新控制配置！
2022.01.12,14:47:10, AUV下达航点序列成功！
2022.01.12,14:47:11, AUV执行多航点任务：巡航速度0，持续时间300秒！
2022.01.12,14:47:15, AUV设定原点！
2022.01.12,14:47:34, AUV下达航点序列成功！
2022.01.12,14:47:35, AUV执行多航点任务：巡航速度90，持续时间300秒！
2022.01.12,14:47:40, 任务开始执行！
2022.01.12,14:48:02, 任务停止执行！
2022.01.12,14:49:32, AUV下达航点序列成功！
2022.01.12,14:49:33, AUV执行多航点任务：巡航速度90，持续时间300秒！
2022.01.12,14:49:43, 任务开始执行！
2022.01.12,14:53:45, AUV执行返航任务：巡航速度90，持续时间300秒！
2022.01.12,14:53:50, 任务停止执行！
2022.01.12,14:53:55, AUV执行返航任务：巡航速度90，持续时间300秒！
2022.01.12,14:53:58, 任务开始执行！
2022.01.12,14:58:26, 使用ILOS！
2022.01.12,14:58:30, 已更新控制配置！
2022.01.12,14:58:36, 任务停止执行！
2022.01.12,14:58:40, AUV执行返航任务：巡航速度90，持续时间300秒！
2022.01.12,14:59:06, AUV执行返航任务：巡航速度90，持续时间300秒！
2022.01.12,14:59:20, AUV执行返航任务：巡航速度90，持续时间300秒！
2022.01.12,14:59:26, 已更新控制配置！
2022.01.12,14:59:35, AUV下达航点序列成功！
2022.01.12,14:59:36, AUV执行多航点任务：巡航速度90，持续时间300秒！
2022.01.12,14:59:41, AUV下达航点序列成功！
2022.01.12,14:59:42, AUV执行多航点任务：巡航速度90，持续时间300秒！
2022.01.12,14:59:47, 任务开始执行！
2022.01.12,15:04:02, 任务停止执行！
2022.01.12,15:04:05, AUV执行返航任务：巡航速度90，持续时间300秒！
2022.01.12,15:04:10, 任务开始执行！
2022.01.12,15:06:53, 任务停止执行！
2022.01.12,15:08:49, AUV执行定深定向：定深0.0m，定向0.0度，巡航速度90，持续时间40秒！
2022.01.12,15:10:04, AUV执行定深定向：定深0.0m，定向320.0度，巡航速度90，持续时间40秒！
2022.01.12,15:10:13, 读取参数成功！
2022.01.12,15:10:19, 读取参数成功！
2022.01.12,15:10:32, 追加Z形试验！
2022.01.12,15:10:39, AUV执行定深定向：定深0.0m，定向320.0度，巡航速度90，持续时间30秒！
2022.01.12,15:11:08, AUV执行定深定向：定深0.0m，定向320.0度，巡航速度90，持续时间30秒！
2022.01.12,15:11:29, 任务开始执行！
2022.01.12,15:14:38, 任务停止执行！
2022.01.12,15:17:02, AUV切换为遥控模式！
2022.01.12,15:18:13, AUV执行定深定向：定深0.0m，定向320.0度，巡航速度90，持续时间30秒！
2022.01.12,15:18:16, AUV切换为自主模式！
2022.01.12,15:18:24, 追加回转试验！
2022.01.12,15:18:27, AUV执行定深定向：定深0.0m，定向320.0度，巡航速度90，持续时间30秒！
2022.01.12,15:18:36, 读取参数成功！
2022.01.12,15:19:04, AUV执行定深定向：定深0.0m，定向320.0度，巡航速度90，持续时间50秒！
2022.01.12,15:19:13, 任务开始执行！
2022.01.12,15:23:32, 任务停止执行！
2022.01.12,15:46:23, AUV初始化成功！
2022.01.12,15:46:58, AUV切换为遥控模式！
2022.01.12,15:47:02, AUV切换为自主模式！
2022.01.12,15:47:07, 禁用航向控制！
2022.01.12,15:47:11, 启用航向控制！
2022.01.12,15:47:15, 已更新控制配置！
2022.01.12,15:47:15, 使用LOS！
2022.01.12,15:49:03, AUV设定原点！
2022.01.12,15:49:22, 不追加操纵性试验！
2022.01.12,15:50:12, 追加Z形试验！
2022.01.12,15:50:20, 读取参数成功！
2022.01.12,15:50:23, 读取参数成功！
2022.01.12,15:50:30, 读取参数成功！
2022.01.12,15:50:39, AUV执行定深定向：定深0.0m，定向320.0度，巡航速度90，持续时间50秒！
2022.01.12,15:50:44, 不追加操纵性试验！
2022.01.12,15:50:50, 追加Z形试验！
2022.01.12,15:51:00, AUV执行定深定向：定深0.0m，定向320.0度，巡航速度90，持续时间50秒！
2022.01.12,15:51:07, 任务开始执行！
2022.01.12,15:53:10, 任务停止执行！
2022.01.12,15:53:17, AUV执行返航任务：巡航速度90，持续时间50秒！
2022.01.12,15:53:26, AUV执行返航任务：巡航速度90，持续时间100秒！
2022.01.12,15:53:32, 任务开始执行！
2022.01.12,15:55:48, AUV切换为遥控模式！
2022.01.12,15:57:57, 任务停止执行！
2022.01.12,15:58:11, 读取参数成功！
2022.01.12,15:58:18, 读取参数成功！
2022.01.12,15:58:25, 读取参数成功！
2022.01.12,15:58:37, AUV切换为自主模式！
2022.01.12,15:58:49, AUV执行定深定向：定深0.0m，定向320.0度，巡航速度90，持续时间50秒！
2022.01.12,15:58:55, AUV执行定深定向：定深0.0m，定向320.0度，巡航速度90，持续时间50秒！
2022.01.12,15:59:10, 不追加操纵性试验！
2022.01.12,15:59:18, 追加Z形试验！
2022.01.12,15:59:33, 不追加操纵性试验！
2022.01.12,15:59:47, 追加Z形试验！
2022.01.12,15:59:55, AUV执行定深定向：定深0.0m，定向320.0度，巡航速度90，持续时间50秒！
2022.01.12,16:00:11, 任务开始执行！
2022.01.12,16:02:27, 任务停止执行！
2022.01.12,16:02:55, AUV执行返航任务：巡航速度90，持续时间50秒！
2022.01.12,16:03:03, AUV执行返航任务：巡航速度90，持续时间120秒！
2022.01.12,16:03:06, AUV执行返航任务：巡航速度90，持续时间120秒！
2022.01.12,16:03:10, 任务开始执行！
2022.01.12,16:05:41, 读取参数成功！
2022.01.12,16:05:47, 读取参数成功！
2022.01.12,16:05:51, 读取参数成功！
2022.01.12,16:06:00, 任务停止执行！
2022.01.12,16:06:16, 不追加操纵性试验！
2022.01.12,16:06:24, 追加Z形试验！
2022.01.12,16:06:29, AUV执行定深定向：定深0.0m，定向320.0度，巡航速度90，持续时间50秒！
2022.01.12,16:07:06, 不追加操纵性试验！
2022.01.12,16:07:12, 追加Z形试验！
2022.01.12,16:07:15, AUV执行定深定向：定深0.0m，定向320.0度，巡航速度90，持续时间50秒！
2022.01.12,16:07:22, AUV执行定深定向：定深0.0m，定向320.0度，巡航速度90，持续时间50秒！
2022.01.12,16:07:28, 任务开始执行！
2022.01.12,16:09:31, 任务停止执行！
2022.01.12,16:09:36, AUV执行返航任务：巡航速度90，持续时间50秒！
2022.01.12,16:09:40, 任务开始执行！
2022.01.12,16:12:24, 任务停止执行！
2022.01.12,16:12:28, AUV执行返航任务：巡航速度90，持续时间50秒！
2022.01.12,16:12:32, 任务开始执行！
2022.01.12,16:13:40, 任务停止执行！
2022.01.12,16:13:46, AUV切换为遥控模式！
2022.01.12,16:15:11, 读取参数成功！
2022.01.12,16:15:38, AUV切换为自主模式！
2022.01.12,16:15:45, 追加回转试验！
2022.01.12,16:15:56, AUV切换为遥控模式！
2022.01.12,16:16:00, AUV切换为自主模式！
2022.01.12,16:16:22, AUV执行定深定向：定深0.0m，定向320.0度，巡航速度90，持续时间50秒！
2022.01.12,16:16:30, 追加Z形试验！
2022.01.12,16:16:34, 追加回转试验！
2022.01.12,16:16:37, AUV执行定深定向：定深0.0m，定向320.0度，巡航速度90，持续时间50秒！
2022.01.12,16:16:54, 读取参数成功！
2022.01.12,16:17:30, AUV执行定深定向：定深0.0m，定向320.0度，巡航速度90，持续时间50秒！
2022.01.12,16:17:52, 任务开始执行！
2022.01.12,16:20:07, 任务停止执行！
2022.01.12,16:20:11, AUV执行返航任务：巡航速度90，持续时间100秒！
2022.01.12,16:20:16, AUV执行返航任务：巡航速度90，持续时间100秒！
2022.01.12,16:20:19, AUV执行返航任务：巡航速度90，持续时间100秒！
2022.01.12,16:20:22, 任务开始执行！
2022.01.12,16:22:00, 任务停止执行！
2022.01.12,16:22:08, 读取参数成功！
2022.01.12,16:22:22, AUV执行定深定向：定深0.0m，定向320.0度，巡航速度90，持续时间50秒！
2022.01.12,16:22:26, 不追加操纵性试验！
2022.01.12,16:22:33, 追加超越试验！
2022.01.12,16:22:41, 追加回转试验！
2022.01.12,16:22:47, AUV执行定深定向：定深0.0m，定向320.0度，巡航速度90，持续时间50秒！
2022.01.12,16:22:58, 任务开始执行！
2022.01.12,16:25:05, 任务停止执行！
2022.01.12,16:25:17, AUV执行返航任务：巡航速度90，持续时间100秒！
2022.01.12,16:25:22, 任务开始执行！
2022.01.12,16:27:23, 不追加操纵性试验！
2022.01.12,16:35:15, 使用ILOS！
2022.01.12,16:35:27, 任务停止执行！
